port,latitude,longitude,mmsis_in_port,port_cluster
21_7,56.68240869394517,8.229746228840682,219026749,9
36_5,55.910799420930125,10.256127749809668,219015532,10
36_5,55.910799420930125,10.256127749809668,219033214,10
36_5,55.910799420930125,10.256127749809668,219029177,10
36_5,55.910799420930125,10.256127749809668,219003383,10
36_5,55.910799420930125,10.256127749809668,219023467,10
36_5,55.910799420930125,10.256127749809668,219029338,10
36_5,55.910799420930125,10.256127749809668,219022352,10
36_5,55.910799420930125,10.256127749809668,219000762,10
36_5,55.910799420930125,10.256127749809668,219000734,10
36_5,55.910799420930125,10.256127749809668,219019887,10
3_3,55.19848366715061,11.256858671101282,219015425,11
3_3,55.19848366715061,11.256858671101282,636020365,11
3_3,55.19848366715061,11.256858671101282,219022265,11
61_0,54.776606022602,8.331463951236028,211364330,12
61_0,54.776606022602,8.331463951236028,211363300,12
61_0,54.776606022602,8.331463951236028,211101000,12
28_7,56.758124000039594,8.887370000116901,219024330,13
28_7,56.758124000039594,8.887370000116901,219030054,13
28_7,56.758124000039594,8.887370000116901,219034229,13
34_3,55.46114992389458,8.444109724212062,244750825,4
34_3,55.46114992389458,8.444109724212062,995750021,4
34_3,55.46114992389458,8.444109724212062,258514000,4
34_3,55.46114992389458,8.444109724212062,219020041,4
34_3,55.46114992389458,8.444109724212062,257024000,4
34_3,55.46114992389458,8.444109724212062,219029726,4
34_3,55.46114992389458,8.444109724212062,219000603,4
34_3,55.46114992389458,8.444109724212062,246819000,4
34_3,55.46114992389458,8.444109724212062,246818000,4
34_3,55.46114992389458,8.444109724212062,219000604,4
34_3,55.46114992389458,8.444109724212062,219029233,4
34_3,55.46114992389458,8.444109724212062,219009101,4
34_3,55.46114992389458,8.444109724212062,219615000,4
34_3,55.46114992389458,8.444109724212062,219014222,4
34_3,55.46114992389458,8.444109724212062,219043000,4
34_3,55.46114992389458,8.444109724212062,219009000,4
34_3,55.46114992389458,8.444109724212062,219679000,4
34_3,55.46114992389458,8.444109724212062,219000161,4
34_3,55.46114992389458,8.444109724212062,219017938,4
34_3,55.46114992389458,8.444109724212062,219027893,4
34_3,55.46114992389458,8.444109724212062,219009432,4
34_3,55.46114992389458,8.444109724212062,219022047,4
34_3,55.46114992389458,8.444109724212062,219570000,4
34_3,55.46114992389458,8.444109724212062,220446000,4
34_3,55.46114992389458,8.444109724212062,219669000,4
26_5,55.82219504917956,10.053368101361603,219025774,14
26_5,55.82219504917956,10.053368101361603,219009081,14
26_5,55.82219504917956,10.053368101361603,219003113,14
26_5,55.82219504917956,10.053368101361603,219016689,14
26_5,55.82219504917956,10.053368101361603,219001182,14
26_5,55.82219504917956,10.053368101361603,219024794,14
26_5,55.82219504917956,10.053368101361603,219000781,14
26_5,55.82219504917956,10.053368101361603,219024831,14
26_5,55.82219504917956,10.053368101361603,219003656,14
26_5,55.82219504917956,10.053368101361603,219015332,14
0_2,57.59427100998551,9.960062284744023,219013178,15
0_2,57.59427100998551,9.960062284744023,219023274,15
0_2,57.59427100998551,9.960062284744023,219009135,15
0_2,57.59427100998551,9.960062284744023,219002774,15
0_2,57.59427100998551,9.960062284744023,219019010,15
0_2,57.59427100998551,9.960062284744023,220088000,15
0_2,57.59427100998551,9.960062284744023,219015362,15
15_4,55.57961700536657,4.758510971968109,992191510,16
15_4,55.57961700536657,4.758510971968109,992191508,16
15_4,55.57961700536657,4.758510971968109,992191509,16
20_7,56.6728534932048,8.22374086916456,211686000,9
20_7,56.6728534932048,8.22374086916456,219029708,9
20_7,56.6728534932048,8.22374086916456,219033326,9
20_7,56.6728534932048,8.22374086916456,219004355,9
20_7,56.6728534932048,8.22374086916456,219030113,9
20_7,56.6728534932048,8.22374086916456,245215000,9
34_1,55.08674758908115,8.56774687093625,219032609,17
34_1,55.08674758908115,8.56774687093625,219000617,17
34_1,55.08674758908115,8.56774687093625,209392000,17
34_1,55.08674758908115,8.56774687093625,245914000,17
34_1,55.08674758908115,8.56774687093625,246135000,17
34_1,55.08674758908115,8.56774687093625,209702000,17
34_1,55.08674758908115,8.56774687093625,219004043,17
24_3,55.41070033400919,12.93330833498531,265816840,18
24_3,55.41070033400919,12.93330833498531,265768840,18
24_3,55.41070033400919,12.93330833498531,265793620,18
21_5,55.72574440947588,12.591240414309901,219024144,19
21_5,55.72574440947588,12.591240414309901,219029348,19
21_5,55.72574440947588,12.591240414309901,211349640,19
21_5,55.72574440947588,12.591240414309901,232050936,19
66_0,54.832638790697516,11.120841367970373,219015579,20
66_0,54.832638790697516,11.120841367970373,210852000,20
66_0,54.832638790697516,11.120841367970373,219007421,20
66_0,54.832638790697516,11.120841367970373,219002656,20
66_0,54.832638790697516,11.120841367970373,219006152,20
66_0,54.832638790697516,11.120841367970373,219026661,20
66_0,54.832638790697516,11.120841367970373,219016668,20
66_0,54.832638790697516,11.120841367970373,219023811,20
16_3,55.29917601471483,10.787521460766994,257364000,8
16_3,55.29917601471483,10.787521460766994,244267000,8
16_3,55.29917601471483,10.787521460766994,219001965,8
27_7,56.71596829537646,11.51334147368414,220304000,21
27_7,56.71596829537646,11.51334147368414,219002731,21
27_7,56.71596829537646,11.51334147368414,219031428,21
27_7,56.71596829537646,11.51334147368414,2190064,21
0_9,57.32142450367038,11.12708009960003,219009229,22
0_9,57.32142450367038,11.12708009960003,220279000,22
