latitude,longitude,port,mmsi,port_unique
55.208658,11.716972,5,219023488,5_3
55.2123,11.244083,6,219016832,6_3
55.212817,11.24395,6,219005068,6_3
55.216405,11.74237,7,219023392,7_3
55.216667,11.738333,7,219026899,7_3
55.216923,11.739303,7,219027645,7_3
55.220488,9.286757,8,111219516,8_3
55.221258,9.287487,8,111219520,8_3
55.240347,14.893545,9,211116660,9_3
55.242382,14.907873,9,248219000,9_3
55.247667,14.836383,10,219018488,10_3
55.247837,14.838992,10,219014054,10_3
55.247957,14.837567,10,219012793,10_3
55.247975,14.836087,10,219019015,10_3
55.248218,14.836167,10,219000751,10_3
55.254105,12.370982,11,219029960,11_3
55.254163,12.37298,11,219002823,11_3
55.261427,9.712973,12,219000643,12_3
55.262022,9.711712,12,219004125,12_3
55.262258,9.70857,12,219000923,12_3
55.262433,9.71039,12,219026591,12_3
55.267908,9.884103,13,219033266,13_3
55.268247,9.888122,13,219030406,13_3
55.26843,9.887942,13,219014412,13_3
55.26856,9.883918,13,219018258,13_3
55.26883,9.887938,13,518100276,13_3
55.268895,9.889015,13,219305000,13_3
55.269288,9.888685,13,219017105,13_3
55.269302,9.88916,13,219032380,13_3
55.270138,9.888777,13,219000553,13_3
55.270285,9.88929,13,219000818,13_3
55.270882,9.888482,13,211278920,13_3
55.288207,10.826985,14,219000185,14_3
55.28861,10.82604,14,219000549,14_3
55.296398,10.811925,15,219997000,15_3
55.296463,10.811488,15,982190006,15_3
55.298007,10.812202,15,219166000,15_3
55.30057,10.806372,15,219012076,15_3
55.301038,10.805567,15,219006563,15_3
55.30113,10.805288,15,219028267,15_3
55.301318,10.805697,15,219012073,15_3
55.297283,10.788845,16,257364000,16_3
55.297302,10.788882,16,244267000,16_3
55.302943,10.784837,16,219001965,16_3
55.307142,10.790055,17,219025891,17_3
55.309113,10.79349,17,356388000,17_3
55.30956,10.792778,17,371830000,17_3
55.32025,15.186117,18,219016547,18_3
55.320677,15.18596,18,219002418,18_3
55.32722,11.131742,19,219029349,19_3
55.328065,11.13325,19,244740800,19_3
55.330095,11.131892,19,219015359,19_3
55.330137,11.129133,19,220432000,19_3
55.330138,11.12702,19,219002067,19_3
55.330388,11.12682,19,219000125,19_3
55.330522,11.128813,19,220435000,19_3
55.330543,11.128382,19,220434000,19_3
55.330923,11.128595,19,219262000,19_3
55.331065,11.127853,19,219000417,19_3
55.331252,11.129823,19,220428000,19_3
55.33134,11.127988,19,219011074,19_3
55.331442,11.126155,19,219000472,19_3
55.3315,11.138888,19,219012789,19_3
55.331843,11.131012,19,219000126,19_3
55.331882,11.138428,19,219012788,19_3
55.331942,11.129285,19,219000474,19_3
55.332122,11.131875,19,219103000,19_3
55.332165,11.131848,19,219105000,19_3
55.33224,11.131392,19,219022265,19_3
55.333037,11.137883,19,219000622,19_3
55.333388,11.134292,19,219024676,19_3
55.333458,11.139915,19,305190000,19_3
55.334457,11.135418,19,219002719,19_3
55.335452,11.135497,19,219015425,19_3
55.330153,11.150183,20,212503000,20_3
55.33018,11.146858,20,219028645,20_3
55.3315,11.138888,20,219012789,20_3
55.331882,11.138428,20,219012788,20_3
55.333037,11.137883,20,219000622,20_3
55.333458,11.139915,20,305190000,20_3
55.333497,11.137962,20,219022265,20_3
55.335517,11.137752,20,219015425,20_3
55.34095,11.0281,21,992191536,21_3
55.34285,11.042867,21,992191537,21_3
55.3656,13.161017,22,218795000,22_3
55.366397,13.159542,22,265866000,22_3
55.3664,13.159533,22,211343680,22_3
55.366487,13.154857,22,265463000,22_3
55.366512,13.15471,22,265031000,22_3
55.366992,13.15779,22,211833390,22_3
55.367,13.157818,22,210510000,22_3
55.37037,13.153768,22,209867000,22_3
55.37049,13.153665,22,209183000,22_3
55.370635,13.14879,22,209869000,22_3
55.370673,13.151818,22,210425000,22_3
55.370747,13.148578,22,265874000,22_3
55.371817,13.143883,23,265519650,23_3
55.372327,13.143847,23,265012560,23_3
55.37238,13.143642,23,265586990,23_3
55.372787,13.145053,23,265607640,23_3
55.410518,12.933802,24,265816840,24_3
55.410673,12.933318,24,265768840,24_3
55.41091,12.932805,24,265793620,24_3
55.416177,8.205545,25,219298000,25_3
55.4175,8.2105,25,219573000,25_3
55.420938,13.826623,26,210174000,26_3
55.421172,13.827288,26,311000330,26_3
55.424553,13.825602,26,209911000,26_3
55.424667,13.826538,26,210095000,26_3
55.424882,13.824838,26,209864000,26_3
55.425333,13.817183,26,265513470,26_3
55.425448,13.817403,26,265768850,26_3
55.426137,13.821805,26,265724000,26_3
55.426148,13.825437,26,219028133,26_3
55.426292,13.823083,26,266334000,26_3
55.421223,10.379222,27,219024597,27_3
55.422663,10.38142,27,248221000,27_3
55.422767,10.381467,27,236111791,27_3
55.425193,10.384315,27,219011491,27_3
55.42809,10.399583,28,212503000,28_3
55.428198,10.392478,28,219011491,28_3
55.430183,10.408945,28,275510000,28_3
55.4475,8.479,29,219573000,29_3
55.44917,8.479525,29,244140000,29_3
55.44918,8.476323,29,219298000,29_3
55.449265,8.476163,29,219387000,29_3
55.4495,8.481488,29,246818000,29_3
55.449565,8.481532,29,244643000,29_3
55.449627,8.481492,29,246819000,29_3
55.451555,8.481038,29,219596000,29_3
55.451763,8.481113,29,211809000,29_3
55.452508,8.47665,29,211341960,29_3
55.453435,8.479013,29,255806364,29_3
55.448175,8.452498,30,995750020,30_3
55.448615,8.462168,30,219298000,30_3
55.451425,8.455207,30,995750022,30_3
55.45318,8.447512,30,246575000,30_3
55.45327,8.446595,30,219009101,30_3
55.453438,8.44711,30,246819000,30_3
55.453522,8.44656,30,244643000,30_3
55.453562,8.446483,30,246818000,30_3
55.454165,8.450738,30,238056000,30_3
55.45444,8.449545,30,995750021,30_3
55.449273,10.664338,31,219003103,31_3
55.449792,10.664002,31,219007393,31_3
